file_name,expected_label,predicted_text,status,confidence,exact_match,hand_detected
A_test.jpg,A,,no_hand,0.0,False,False
B_test.jpg,B,B,new_prediction,0.95,True,True
C_test.jpg,C,,no_hand,0.0,False,False
D_test.jpg,D,,no_hand,0.0,False,False
E_test.jpg,E,,no_hand,0.0,False,False
F_test.jpg,F,F,new_prediction,0.99,True,True
G_test.jpg,G,G,new_prediction,0.97,True,True
H_test.jpg,H,,no_hand,0.0,False,False
I_test.jpg,I,I,new_prediction,0.97,True,True
J_test.jpg,J,J,new_prediction,0.98,True,True
K_test.jpg,K,K,new_prediction,0.8,True,True
L_test.jpg,L,L,new_prediction,0.99,True,True
M_test.jpg,M,,no_hand,0.0,False,False
N_test.jpg,N,,no_hand,0.0,False,False
nothing_test.jpg,nothing,,no_hand,0.0,False,False
O_test.jpg,O,,no_hand,0.0,False,False
P_test.jpg,P,Q,new_prediction,0.99,False,True
Q_test.jpg,Q,Q,new_prediction,0.96,True,True
R_test.jpg,R,,no_hand,0.0,False,False
S_test.jpg,S,S,new_prediction,0.97,True,True
space_test.jpg,space,,low_confidence,0.45,False,True
T_test.jpg,T,T,new_prediction,0.87,True,True
U_test.jpg,U,,no_hand,0.0,False,False
V_test.jpg,V,,no_hand,0.0,False,False
W_test.jpg,W,W,new_prediction,0.86,True,True
X_test.jpg,X,,no_hand,0.0,False,False
Y_test.jpg,Y,Y,new_prediction,0.96,True,True
Z_test.jpg,Z,,no_hand,0.0,False,False
